Activities,Location,Category,Latitude,Longitude,Region
Beach Relaxation,Whitehaven Beach,Relaxation & Wellness,-20.2824,149.0389,QLD
Bird Watching,Fraser Island,Sightseeing & Nature,-25.2398,153.1325,QLD
Waterfall Viewing,Springbrook National Park,Sightseeing & Nature,-28.2077,153.2903,QLD
Island Hopping,Whitsunday Islands,Sightseeing & Nature,-20.3,148.933,QLD
Camel Riding,Broome,Activities & Adventure,-17.9618,122.237,WA
Fly over,Bungle Bungles,Activities & Adventure,17.4214,128.4449,WA
Boat Riding,Horizontal Falls,Activities & Adventure,-17.9535,122.245,WA
Snorkeling,Ningaloo Reef,Activities & Adventure,-22.5625,113.8103,WA
Wildlife Watching,Monkey Mia,Sightseeing & Nature,-25.7938,113.7198,WA
Surfing,Margaret River,Activities & Adventure,-33.9535,115.063,WA
Fishing,Exmouth,Activities & Adventure,-21.9323,114.1279,WA
Whale Watching,Albany,Sightseeing & Nature,-35.0268,117.8837,WA
Hot Air Ballooning,Avon Valley,Activities & Adventure,-31.6058,116.2237,WA
Hiking,Kalbarri National Park,Activities & Adventure,-27.6798,114.2719,WA
Cultural Tour,Fremantle Prison,Sightseeing & Nature,-32.055,115.7537,WA
Scenic Boat Tour,"Swan River, Perth",Sightseeing & Nature,31.895,115.993,WA
Desert Safari,Pinnacles Desert,Activities & Adventure,-30.5913,115.1582,WA
Mountain Biking,Cape to Cape Track,Activities & Adventure,33.6817,114.9944,WA
Scenic Helicopter Tour,Kimberley,Activities & Adventure,-28.7435,24.7626,WA
Wildlife Watching,Kangaroo Island,Sightseeing & Nature,-35.7752,137.2142,SA
Horse Riding,Flinders Ranges,Activities & Adventure,-31.547,138.3928,SA
Cave Exploration,Naracoorte Caves,Sightseeing & Nature,-37.0357,140.7956,SA
Art Gallery Visit,Art Gallery of South Australia,Sightseeing & Nature,-34.9206,138.6039,SA
Cultural Festival,Adelaide Fringe,Sightseeing & Nature,-34.9261,138.6083,SA
Dolphin Watching,Glenelg,Sightseeing & Nature,-34.9804,138.5131,SA
Kayaking,Port Lincoln,Activities & Adventure,-34.7226,135.8597,SA
Hot Air Ballooning,Barossa Valley,Activities & Adventure,-34.5333,138.95,SA
Whale Watching,Victor Harbor,Sightseeing & Nature,-35.5503,138.6209,SA
Walking Tours,Adelaide Botanical Gardens,Sightseeing & Nature,-34.9203,138.611,SA
Sightseeing,Cradle Mountain,Sightseeing & Nature,-41.68,145.94,TAS
Sightseeing,Coles Bay,Sightseeing & Nature,-42.1225,148.2894,TAS
Cultural & Historical Experiences,Port Arthur,Sightseeing & Nature,-43.1396,147.8507,TAS
Wildlife Watching,Tasmanian Wilderness,Sightseeing & Nature,-42.5957,146.1729,TAS
Sightseeing,Wineglass Bay,Sightseeing & Nature,-42.168,148.302,TAS
Hiking,Freycinet National Park,Activities & Adventure,-42.1306,148.3123,TAS
Rafting,Franklin River,Activities & Adventure,-38.6523,146.2765,TAS
Scenic Boat Tour,Bruny Island,Sightseeing & Nature,-43.3937,147.2679,TAS
Scenic Rail Journey,West Coast Wilderness Railway,Sightseeing & Nature,-42.1601,145.3278,TAS
Cultural Tour,Hobart Waterfront,Sightseeing & Nature,-42.88,147.324,TAS
Zip Lining,Hollybank Forest,Activities & Adventure,-41.302,147.2,TAS
Sightseeing,Uluru,Sightseeing & Nature,-25.3444,131.0369,NT
Camel Safari,Alice Springs,Activities & Adventure,-23.698,133.8807,NT
Desert Safari,Simpson Desert,Activities & Adventure,-25.0466,136.7435,NT
Fly Over,Kakadu National Park,Activities & Adventure,-13.0923,132.3938,NT
Hiking,Kings Canyon,Activities & Adventure,-24.2553,131.57,NT
Cultural Tour,Arnhem Land,Sightseeing & Nature,-12.6219,134.9254,NT
Crocodile Watching,Adelaide River,Sightseeing & Nature,-13.2395,131.1064,NT
Waterfall Viewing,Litchfield National Park,Sightseeing & Nature,-13.2935,130.8464,NT
Bush Camping,Kakadu National Park,Activities & Adventure,-13.0923,132.3938,NT
Scenic Helicopter Tour,Katherine Gorge,Activities & Adventure,-14.3,132.4667,NT
Museum Tour,Australian War Memorial,Sightseeing & Nature,-35.2811,149.1484,ACT
Art Gallery Visit,National Gallery of Australia,Sightseeing & Nature,-35.3006,149.1368,ACT
Wildlife Watching,Tidbinbilla Nature Reserve,Sightseeing & Nature,-35.4401,148.9426,ACT
Hiking,Namadgi National Park,Activities & Adventure,-35.6411,148.9257,ACT
